date,stock,open,high,low,close,volume,positive_sent,negative_sent,neutral_sent,sent_score,has_disclosure,sma_20,ema_12,ema_26,macd,signal_line,macd_histogram,rsi,next_close,price_change_pct,target,target_encoded
2023-05-26,SCC,28.6,28.7,28.1,28.2,1621000,0.0,0.0,1.0,0.0,0,28.2175,28.45985722114316,28.551562001053707,-0.0917047799105539,-0.2073646430417288,0.1156598631311749,53.70370370370369,29.05,3.0141843971631257,UP,2.0
2023-05-29,SCC,28.25,29.1,28.25,29.05,860300,0.0,0.0,1.0,0.0,0,28.320000000000004,28.55064841789036,28.58848333430899,-0.0378349164186282,-0.1734586977171087,0.1356237812984805,64.78873239436618,28.3,-2.5817555938037864,DOWN,0.0
2023-05-30,SCC,28.55,29.05,28.3,28.3,1623500,0.0,0.0,1.0,0.0,0,28.355,28.51208712283031,28.567114198434247,-0.0550270756039381,-0.1497723732944746,0.0947452976905365,54.117647058823536,28.0,-1.0600706713780943,DOWN,0.0
2023-05-31,SCC,28.5,28.55,28.0,28.0,3335100,0.0,0.0,1.0,0.0,0,28.355,28.43330448854872,28.525105739290968,-0.0918012507422467,-0.1381781487840291,0.0463768980417823,52.8735632183908,28.2,0.7142857142857117,FLAT,1.0
2023-06-01,SCC,28.4,28.55,28.0,28.2,848000,0.0,0.0,1.0,0.0,0,28.35,28.397411490310454,28.50102383267682,-0.1036123423663681,-0.1312649875004969,0.0276526451341287,52.8735632183908,28.1,-0.3546099290780066,FLAT,1.0
2023-06-02,SCC,28.2,28.2,27.9,28.1,892200,0.0,0.0,1.0,0.0,0,28.335,28.351655876416537,28.47131836358965,-0.1196624871731124,-0.12894448743502,0.0092820002619075,50.0,28.2,0.3558718861209888,FLAT,1.0
2023-06-05,SCC,28.2,28.4,28.1,28.2,448800,0.0,0.0,1.0,0.0,0,28.345,28.32832420312169,28.451220707027453,-0.1228965039057641,-0.1277348907291688,0.0048383868234047,52.94117647058823,28.2,0.0,FLAT,1.0
2023-06-06,SCC,28.35,28.35,27.95,28.2,986200,0.0,0.0,1.0,0.0,0,28.355,28.308582018026044,28.43261176576616,-0.1240297477401171,-0.1269938621313585,0.0029641143912414,48.7179487179487,28.2,0.0,FLAT,1.0
2023-06-07,SCC,28.2,28.2,28.0,28.2,600000,0.0,0.0,1.0,0.0,0,28.3675,28.29187709217588,28.4153812645983,-0.1235041724224181,-0.1262959241895704,0.0027917517671522,42.02898550724637,28.25,0.1773049645390096,FLAT,1.0
2023-06-08,SCC,28.2,28.25,28.0,28.25,672700,0.0,0.0,1.0,0.0,0,28.3925,28.28543446261036,28.40313080055398,-0.1176963379436202,-0.1245760069403804,0.0068796689967602,38.46153846153846,28.25,0.0,FLAT,1.0
2023-06-09,SCC,28.25,28.25,28.1,28.25,374100,0.0,0.0,1.0,0.0,0,28.4075,28.27998300682416,28.391787778290723,-0.1118047714665699,-0.1220217598456183,0.0102169883790483,37.49999999999999,28.25,0.0,FLAT,1.0
2023-06-13,SCC,28.25,28.25,28.1,28.25,489800,0.0,0.0,1.0,0.0,0,28.415,28.27537023654352,28.38128497989881,-0.1059147433552993,-0.1188003565475545,0.0128856131922551,38.70967741935485,28.2,-0.1769911504424804,FLAT,1.0
